"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-10","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.672","","","","3"
"1990-10","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","11.581","","","","3"
"1990-10","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","7.219","","","","3"
"1990-10","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.206","","","","3"
"1990-10","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.078","","","","3"
"1990-10","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.290","","","","3"
"1990-10","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.838","","","","3"
"1990-10","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.172","","","","3"
"1990-11","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","34.686","","","","3"
"1990-11","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.369","","","","3"
"1990-11","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.705","","","","3"
"1990-11","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.279","","","","3"
"1990-11","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.562","","","","3"
"1990-11","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.823","","","","3"
"1990-11","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","13.690","","","","3"
"1990-11","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","6.654","","","","3"
"1990-11","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.867","","","","3"
"1990-11","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.451","","","","3"
"1990-11","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.290","","","","3"
"1990-11","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","3.126","","","","3"
"1990-11","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.106","","","","3"
"1990-12","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","36.041","","","","3"
"1990-12","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","4.513","","","","3"
"1990-12","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","1.663","","","","3"
"1990-12","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.386","","","","3"
"1990-12","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.715","","","","3"
"1990-12","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.749","","","","3"
"1990-12","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","15.727","","","","3"
"1990-12","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","6.852","","","","3"
"1990-12","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.802","","","","3"
"1990-12","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","0.695","","","","3"
"1990-12","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.242","","","","3"
"1990-12","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.865","","","","3"
"1990-12","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.147","","","","3"
"1991-01","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","22.819","","","","3"
"1991-01","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","3.216","","","","3"
"1991-01","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","0.631","","","","3"
"1991-01","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.224","","","","3"
"1991-01","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","1.403","","","","3"
"1991-01","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.958","","","","3"
"1991-01","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","6.751","","","","3"
"1991-01","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","5.172","","","","3"
"1991-01","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.974","","","","3"
"1991-01","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","2.283","","","","3"
"1991-01","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.436","","","","3"
"1991-01","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","1.255","","","","3"
"1991-01","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","3.706","","","","3"
"1991-02","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","22.725","","","","3"
"1991-02","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","3.251","","","","3"
"1991-02","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","0.736","","","","3"
"1991-02","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.267","","","","3"
